rank_director;director;box_office_director;movies_director;average_director
534;Breck Eisner;308,909,836;3;102,969,945
535;Jackie Chan;307,760,223;6;51,293,371
536;Tian Yusheng;307,547,824;1;307,547,824
537;John Carpenter;306,470,568;20;15,323,528
538;George Tillman, Jr;305,973,896;9;33,997,100
539;Tony Chan;304,345,923;5;60,869,185
540;Richard Attenborough;303,289,110;10;30,328,911
541;Gregory Hoblit;302,816,037;5;60,563,207
542;David Green;302,803,370;5;60,560,674
543;Charles Shyer;302,578,210;7;43,225,459
544;Gary Fleder;302,367,519;7;43,195,360
545;Andrzej Bartkowiak;298,879,572;7;42,697,082
546;Greta Gerwig;297,840,432;3;99,280,144
547;Kenny Ortega;297,244,945;8;37,155,618
548;Simon Wincer;296,435,626;11;26,948,693
549;Joe Roth;295,003,018;5;59,000,604
550;Fede Álvarez;292,931,639;4;73,232,910
551;Hoyt H. Yeatman;292,817,841;1;292,817,841
552;Luke Greenfield;292,651,510;5;58,530,302
553;David Twohy;292,595,387;6;48,765,898
